Disease,Description,Symptoms ,Precautions,Medications,Diets
Tic disorders (Tourette syndrome),"A neurological disorder characterized by repetitive, involuntary movements or vocalizations (tics).","Sudden, rapid, repetitive movements or sounds, blinking, throat clearing, facial grimacing.","Early diagnosis, stress management, regular check-ups.","Medications (antipsychotics, muscle relaxants), behavioral therapy, deep brain stimulation (in severe cases).","Balanced diet, include omega-3-rich foods, lean proteins, and whole grains, avoid caffeine, sugar, and processed foods."
Tinea infections (ringworm),"A fungal infection of the skin, scalp, or nails, causing a circular rash with clear skin in the center.","Itchy, red, scaly, or cracked skin, ring-shaped rash, hair loss in the affected area.","Maintain good hygiene, avoid sharing personal items, keep skin dry.","Antifungal creams (clotrimazole, terbinafine), oral antifungal medication for severe cases.","Balanced diet, include immune-boosting foods like fruits, vegetables, and lean proteins, avoid sugar and processed foods."
Toxic shock syndrome,"A rare but life-threatening condition caused by bacterial toxins (often linked to tampon use, surgery, or open wounds).","Sudden high fever, low blood pressure, vomiting, diarrhea, rash, confusion.","Regularly change tampons, proper wound care, avoid using super-absorbent tampons.","Antibiotics, IV fluids, supportive care in ICU, surgery to remove infected tissue.","No specific diet, but focus on balanced, nutrient-rich foods, stay hydrated with electrolyte solutions, avoid processed foods and sugars during recovery."
Trigeminal neuralgia,"A chronic pain condition affecting the trigeminal nerve, causing severe facial pain.","Severe, sudden facial pain, typically on one side, triggered by touch or movement.","Avoid triggers (cold air, touch), manage stress, regular check-ups.","Anticonvulsants (carbamazepine), muscle relaxants, surgery (in severe cases).","Balanced, anti-inflammatory diet, include omega-3-rich foods, lean proteins, whole grains, avoid processed foods and hard-to-chew foods that may trigger pain."
Tuberous sclerosis,"A genetic disorder that causes benign tumors to form in many organs, including the brain, skin, kidneys, and heart.","Seizures, developmental delays, behavioral problems, skin abnormalities, kidney problems.","Regular monitoring, genetic counseling, early intervention therapies.","Antiepileptics, surgery to remove tumors, everolimus for certain types of tumors, supportive therapies.","Balanced diet, include nutrient-rich, soft, easily digestible foods, ensure adequate caloric intake, avoid foods high in sugar and fat."
Ulcerative colitis,A chronic inflammatory bowel disease (IBD) causing inflammation and ulcers in the colon and rectum.,"Diarrhea (often with blood or pus), abdominal pain, weight loss, fatigue, fever.","Healthy diet, avoid smoking, manage stress, regular screenings.","Anti-inflammatory drugs (5-ASA, corticosteroids), immunosuppressants, biologics, surgery in severe cases.","Low-fiber, low-residue diet during flare-ups, include soft, easy-to-digest foods, avoid dairy, raw fruits, vegetables, and spicy foods, stay hydrated."
Uterine cancer,"	Cancer that begins in the lining of the uterus (endometrium), most commonly affecting postmenopausal women.","Abnormal vaginal bleeding, pelvic pain, pain during intercourse, weight loss.","Regular screenings, maintain a healthy weight, avoid smoking.","Surgery (hysterectomy), radiation therapy, chemotherapy, hormone therapy.","High-calorie, high-protein diet during treatment, include nutrient-dense, easily digestible foods, avoid processed and high-fat foods, stay hydrated."
Uveitis,"Inflammation of the middle layer of the eye (uvea), which can lead to vision loss if untreated.","Eye redness, pain, blurred vision, light sensitivity, floaters.","Early diagnosis and treatment, manage autoimmune diseases, regular eye check-ups.","Corticosteroid eye drops, immunosuppressants, antibiotics (if caused by infection).","Anti-inflammatory diet, include omega-3-rich foods, fruits, vegetables, and lean proteins, avoid processed foods, sugar, and high-fat foods."
Vaginal cancer,"A rare cancer that occurs in the vaginal tissue, often linked to human papillomavirus (HPV) infection.","Vaginal bleeding, pelvic pain, painful urination, lump in the vagina.","HPV vaccination, regular gynecological exams, avoid smoking.","Surgery, radiation therapy, chemotherapy, targeted therapy.","High-protein, high-calorie diet during treatment, include nutrient-rich, soft, and easy-to-digest foods, avoid spicy and processed foods, stay hydrated."
Vascular dementia,"A decline in thinking skills caused by reduced blood flow to the brain, often due to a stroke or other vascular issues.","Memory problems, confusion, difficulty concentrating, slow thinking, mood changes.","Manage blood pressure, cholesterol, regular physical activity, avoid smoking.","Medications to manage symptoms (donepezil, memantine), physical therapy, cognitive therapy.","Heart-healthy, Mediterranean-style diet, include omega-3-rich foods, fruits, vegetables, and whole grains, avoid high-sodium, high-fat, and processed foods."
Ventricular septal defect,A congenital heart defect characterized by a hole in the wall separating the heart's lower chambers (ventricles).,"Shortness of breath, rapid breathing, poor feeding, fatigue, frequent respiratory infections.","Early diagnosis and monitoring, avoid smoking during pregnancy, genetic counseling.","Surgery to repair the defect, medications to manage symptoms (diuretics, beta-blockers).","Heart-healthy diet, include fiber-rich foods (e.g., oats, whole grains), lean proteins, and vegetables, avoid high-sodium, high-fat, and processed foods."
Vitiligo,"A condition in which the skin loses its pigment cells, resulting in discolored patches on different parts of the body.","White patches on the skin, premature graying of hair, loss of color inside the mouth and nose.","Protect skin from sun exposure, avoid skin injuries, manage stress.","Topical corticosteroids, light therapy, depigmentation therapy, skin grafts in severe cases.","Balanced diet, include antioxidant-rich fruits, vegetables, and lean proteins, avoid processed foods, sugar, and excessive salt."
Von Willebrand disease,"A genetic bleeding disorder caused by a deficiency or dysfunction of von Willebrand factor, a blood clotting protein.","Easy bruising, frequent nosebleeds, heavy menstrual bleeding, prolonged bleeding from cuts.","Avoid blood thinners, inform doctors of condition before surgery, regular check-ups.","Desmopressin, clotting factor concentrates, antifibrinolytic medications.","Balanced diet, include lean proteins, whole grains, and vitamin C-rich foods, avoid alcohol and processed foods, ensure adequate hydration."
West Nile virus infection,"A viral infection transmitted by mosquitoes, causing mild flu-like symptoms to severe neurological issues.","Fever, headache, body aches, joint pain, vomiting, diarrhea, rash, in severe cases: encephalitis, meningitis.","Use insect repellents, wear protective clothing, avoid mosquito-infested areas.","No specific treatment; supportive care for symptoms, pain relievers, hospitalization in severe cases.","No specific diet, focus on hydration and nutrient-rich foods, include easily digestible meals like soups and smoothies, avoid processed foods during recovery."
Whipple's disease,"A rare bacterial infection affecting the small intestine, leading to malabsorption of nutrients.","Weight loss, diarrhea, abdominal pain, joint pain, fatigue, swollen lymph nodes.","Early diagnosis and treatment, regular check-ups, maintain hygiene.","No specific treatment; supportive care for symptoms, pain relievers, hospitalization in severe cases.","High-calorie, high-protein diet to counter malabsorption, include nutrient-dense, easily digestible foods, avoid fatty, spicy, and fibrous foods."
Wilson’s disease,"A genetic disorder where excess copper builds up in the liver, brain, and other organs, causing damage.","Fatigue, jaundice, swelling in the legs/abdomen, tremors, difficulty speaking.","Avoid copper-rich foods, genetic screening for at-risk families.","Chelating agents (penicillamine, trientine), zinc supplements, liver transplant in severe cases.","Low-copper diet, avoid copper-rich foods like shellfish, liver, nuts, chocolate, include high-zinc foods (e.g., beans, poultry) and whole grains."
Wolff-Parkinson-White syndrome,"A condition characterized by an extra electrical pathway in the heart, leading to episodes of rapid heart rate (tachycardia).","Rapid heartbeat, palpitations, shortness of breath, dizziness, fainting.","Regular heart check-ups, avoid stimulants (caffeine, alcohol), manage stress.","Medications (antiarrhythmics), catheter ablation, cardioversion in emergency cases.","Heart-healthy diet, include omega-3-rich foods, lean proteins, fruits, vegetables, avoid high-fat, high-sodium, and processed foods."
Yersiniosis,"A bacterial infection caused by Yersinia enterocolitica, often through contaminated food, leading to gastrointestinal issues.","Fever, abdominal pain, diarrhea (sometimes bloody), nausea, vomiting.","Proper food handling, avoid raw or undercooked pork, maintain good hygiene.","Antibiotics (in severe cases), supportive care (rehydration, pain relief).","Balanced, easily digestible diet during recovery, include lean proteins, fruits, vegetables, whole grains, avoid fatty, spicy, and processed foods."
Zollinger-Ellison syndrome,"A rare condition in which one or more tumors in the pancreas or duodenum cause the stomach to produce excessive acid, leading to peptic ulcers.","Abdominal pain, diarrhea, nausea, vomiting, weight loss, heartburn.","Regular monitoring, avoid smoking, manage stress, avoid alcohol.","Proton pump inhibitors (PPIs), surgery to remove tumors, medications to control acid production.","Low-fat, low-acid diet, include easily digestible, nutrient-dense foods like lean proteins, whole grains, and vegetables, avoid spicy, acidic, and fried foods."
Actinomycosis,"A rare bacterial infection that causes abscesses and tissue damage, often in the mouth, jaw, chest, or abdomen.","Swelling, abscesses, fever, weight loss, draining sores.","Maintain good dental hygiene, treat infections early, proper wound care.","Long-term antibiotics (penicillin), surgery to drain abscesses.","Balanced diet, include lean proteins, fruits, vegetables, and whole grains, avoid processed foods, sugar, and alcohol during recovery."
